schema_version,sku,label,category,unit,min_stock,published_at,rejection_reason
1.0,SKU-00017,L'avantage d'atteindre vos buts sans soucis,TOOLS,KG,23,2024-01-12T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00018,L'art de changer plus facilement,ELEC,L,44,2024-01-30T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00019,Le confort d'évoluer de manière sûre,FOOD,KG,34,2024-01-24T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00020,L'avantage d'avancer autrement,ELEC,KG,29,2024-01-13T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00021,L'avantage de concrétiser vos projets à la pointe,TOOLS,KG,43,2024-01-11T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00022,La possibilité de rouler à l'état pur,FOOD,KG,2,2024-01-26T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00023,La liberté d'innover de manière sûre,TOOLS,BOX,17,2024-01-03T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00024,Le plaisir d'innover autrement,ELEC,L,13,2024-01-21T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00025,Le droit de rouler à sa source,CLOTHING,BOX,41,2024-01-15T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00026,La possibilité d'évoluer à la pointe,ELEC,L,8,2024-01-08T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00027,Le confort de louer de manière sûre,OTHER,L,47,2024-01-19T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00028,La possibilité de rouler sans soucis,CLOTHING,BOX,23,2024-01-08T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00029,Le droit de rouler plus rapidement,ELEC,BOX,5,2024-01-25T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00030,L'assurance de changer de manière efficace,FOOD,PCS,9,2024-01-21T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00031,L'avantage d'avancer plus rapidement,ELEC,BOX,38,2024-01-03T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00032,Le plaisir d'évoluer plus facilement,CLOTHING,BOX,38,2024-01-15T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00033,La possibilité d'évoluer en toute tranquilité,OTHER,L,35,2024-01-28T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00034,Le pouvoir de louer naturellement,FOOD,PCS,43,2024-01-29T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00035,L'art de rouler sans soucis,OTHER,L,49,2024-01-21T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00036,L'avantage de changer de manière efficace,TOOLS,PCS,18,2024-01-14T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00037,Le pouvoir de changer plus rapidement,ELEC,BOX,0,2024-01-31T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00038,La liberté d'atteindre vos buts avant-tout,TOOLS,KG,32,2024-01-30T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00039,La liberté d'avancer de manière efficace,FOOD,L,40,2024-01-17T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00040,Le confort d'innover naturellement,OTHER,KG,9,2024-01-12T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00041,Le plaisir de concrétiser vos projets de manière sûre,ELEC,PCS,38,2024-01-11T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00042,Le confort d'atteindre vos buts naturellement,CLOTHING,PCS,7,2024-01-30T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00043,Le pouvoir de rouler autrement,TOOLS,L,15,2024-01-02T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00044,Le droit d'innover autrement,ELEC,PCS,5,2024-01-24T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00045,Le confort de changer en toute tranquilité,CLOTHING,PCS,48,2024-01-18T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00046,La possibilité d'évoluer de manière efficace,ELEC,KG,42,2024-01-16T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00047,Le confort d'avancer sans soucis,OTHER,KG,16,2024-01-17T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00048,La liberté de changer autrement,OTHER,BOX,13,2024-01-30T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00049,L'avantage de changer sans soucis,OTHER,KG,45,2024-01-10T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00050,L'avantage d'avancer autrement,CLOTHING,L,28,2024-01-29T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00051,L'assurance de changer à l'état pur,OTHER,BOX,7,2024-01-08T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00052,La liberté d'innover naturellement,ELEC,PCS,21,2024-01-01T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00053,Le plaisir de rouler naturellement,OTHER,KG,37,2024-01-08T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00054,Le plaisir de changer à la pointe,FOOD,PCS,45,2024-01-21T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00055,Le confort de louer plus rapidement,FOOD,KG,4,2024-01-29T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00056,L'art d'innover plus facilement,FOOD,L,4,2024-01-17T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00057,La possibilité d'innover sans soucis,ELEC,L,42,2024-01-16T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00058,La liberté d'innover à l'état pur,ELEC,KG,46,2024-01-30T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00059,Le confort d'innover plus rapidement,OTHER,BOX,15,2024-01-26T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00060,La possibilité d'évoluer en toute tranquilité,CLOTHING,BOX,12,2024-01-04T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00061,L'avantage de changer à sa source,FOOD,BOX,22,2024-01-14T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00062,L'assurance de rouler plus rapidement,CLOTHING,BOX,46,2024-01-02T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00063,L'assurance de rouler de manière efficace,FOOD,PCS,25,2024-01-24T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00064,Le confort d'innover plus facilement,TOOLS,PCS,15,2024-01-07T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00065,La possibilité d'atteindre vos buts à la pointe,ELEC,BOX,8,2024-01-14T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00066,Le plaisir d'avancer à sa source,ELEC,L,29,2024-01-08T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00067,L'avantage d'évoluer autrement,FOOD,BOX,35,2024-01-04T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00068,L'art de changer à l'état pur,FOOD,PCS,5,2024-01-30T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00069,La liberté d'avancer avant-tout,ELEC,KG,26,2024-01-16T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00070,Le confort d'atteindre vos buts de manière efficace,CLOTHING,KG,25,2024-01-29T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00071,L'art d'atteindre vos buts de manière sûre,FOOD,KG,24,2024-01-01T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00072,L'assurance d'évoluer de manière sûre,CLOTHING,L,50,2024-01-26T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00073,Le pouvoir de louer en toute tranquilité,CLOTHING,L,27,2024-01-23T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00074,L'assurance de louer à l'état pur,OTHER,BOX,9,2024-01-07T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00075,La liberté de louer de manière efficace,TOOLS,KG,3,2024-01-19T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00076,L'assurance d'évoluer sans soucis,OTHER,PCS,47,2024-01-11T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00077,L'art de louer autrement,FOOD,PCS,37,2024-01-16T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00078,Le pouvoir de changer en toute tranquilité,OTHER,KG,3,2024-01-31T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00079,Le pouvoir de rouler à la pointe,OTHER,PCS,11,2024-01-03T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00080,L'art d'atteindre vos buts plus rapidement,OTHER,PCS,43,2024-01-28T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00081,L'avantage de louer à l'état pur,ELEC,BOX,7,2024-01-31T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00082,L'assurance d'innover à l'état pur,OTHER,KG,37,2024-01-20T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00083,L'art d'atteindre vos buts à sa source,FOOD,PCS,26,2024-01-22T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00084,La liberté d'atteindre vos buts à l'état pur,OTHER,L,16,2024-01-07T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00085,L'avantage d'innover autrement,TOOLS,KG,16,2024-01-13T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00086,L'avantage de louer naturellement,ELEC,L,29,2024-01-11T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00087,Le droit de changer à la pointe,FOOD,PCS,29,2024-01-20T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00088,Le confort d'avancer en toute tranquilité,OTHER,PCS,4,2024-01-18T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00089,Le plaisir de changer à l'état pur,ELEC,L,8,2024-01-30T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00090,Le droit d'atteindre vos buts à l'état pur,TOOLS,PCS,15,2024-01-12T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00091,Le pouvoir de concrétiser vos projets autrement,TOOLS,KG,28,2024-01-27T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00092,Le confort de rouler de manière sûre,OTHER,L,39,2024-01-26T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00093,Le pouvoir de changer plus facilement,OTHER,PCS,42,2024-01-27T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00094,Le droit d'évoluer de manière sûre,OTHER,L,42,2024-01-04T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00095,La liberté de louer de manière sûre,ELEC,L,7,2024-01-29T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00096,Le confort de concrétiser vos projets naturellement,FOOD,KG,17,2024-01-10T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00097,La liberté de changer en toute tranquilité,OTHER,KG,45,2024-01-11T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00098,L'art de louer à la pointe,ELEC,L,32,2024-01-16T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00099,Le confort de changer plus rapidement,TOOLS,PCS,5,2024-01-21T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00100,Le pouvoir de louer à la pointe,CLOTHING,L,2,2024-01-01T00:00:00,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
